videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,trackKey,trackId,pedestrianId,occlusionClass,occlusionLabel,insideROI
8e858459,0,00:00:00,2025-01-23T10:23:20,10:23:20,1,1,1,1,1,0,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,1,00:00:01,2025-01-23T10:23:21,10:23:21,1,1,1,1,1,0,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,2,00:00:02,2025-01-23T10:23:22,10:23:22,1,1,1,1,1,0,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,3,00:00:03,2025-01-23T10:23:23,10:23:23,1,1,1,1,1,0,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,4,00:00:04,2025-01-23T10:23:24,10:23:24,1,1,1,1,1,0,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,5,00:00:05,2025-01-23T10:23:25,10:23:25,2,2,2,2,1,0,1,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,5,00:00:05,2025-01-23T10:23:25,10:23:25,2,2,2,2,1,0,1,8e858459:20,88978f84,20,2,heavy occlusion,true
8e858459,6,00:00:06,2025-01-23T10:23:26,10:23:26,3,3,3,3,0,3,0,8e858459:1,cf10278d,1,1,moderate occlusion,true
8e858459,6,00:00:06,2025-01-23T10:23:26,10:23:26,3,3,3,3,0,3,0,8e858459:20,88978f84,20,1,moderate occlusion,true
8e858459,6,00:00:06,2025-01-23T10:23:26,10:23:26,3,3,3,3,0,3,0,8e858459:25,d20585c7,25,1,moderate occlusion,true
8e858459,7,00:00:07,2025-01-23T10:23:27,10:23:27,3,3,4,4,1,2,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,7,00:00:07,2025-01-23T10:23:27,10:23:27,3,3,4,4,1,2,0,8e858459:20,88978f84,20,1,moderate occlusion,true
8e858459,7,00:00:07,2025-01-23T10:23:27,10:23:27,3,3,4,4,1,2,0,8e858459:27,e6ab2278,27,1,moderate occlusion,true
8e858459,8,00:00:08,2025-01-23T10:23:28,10:23:28,2,2,4,4,1,1,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,8,00:00:08,2025-01-23T10:23:28,10:23:28,2,2,4,4,1,1,0,8e858459:20,88978f84,20,1,moderate occlusion,true
8e858459,9,00:00:09,2025-01-23T10:23:29,10:23:29,3,3,5,5,2,1,0,8e858459:1,cf10278d,1,0,light occlusion,true
8e858459,9,00:00:09,2025-01-23T10:23:29,10:23:29,3,3,5,5,2,1,0,8e858459:20,88978f84,20,1,moderate occlusion,true
8e858459,9,00:00:09,2025-01-23T10:23:29,10:23:29,3,3,5,5,2,1,0,8e858459:44,06fbe973,44,0,light occlusion,true
8e858459,10,00:00:10,2025-01-23T10:23:30,10:23:30,3,3,6,6,2,1,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,10,00:00:10,2025-01-23T10:23:30,10:23:30,3,3,6,6,2,1,0,8e858459:44,06fbe973,44,0,light occlusion,true
8e858459,10,00:00:10,2025-01-23T10:23:30,10:23:30,3,3,6,6,2,1,0,8e858459:51,5e431f85,51,1,moderate occlusion,true
8e858459,11,00:00:11,2025-01-23T10:23:31,10:23:31,3,3,6,6,2,1,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,11,00:00:11,2025-01-23T10:23:31,10:23:31,3,3,6,6,2,1,0,8e858459:44,06fbe973,44,1,moderate occlusion,true
8e858459,11,00:00:11,2025-01-23T10:23:31,10:23:31,3,3,6,6,2,1,0,8e858459:51,5e431f85,51,0,light occlusion,true
8e858459,12,00:00:12,2025-01-23T10:23:32,10:23:32,1,1,6,6,0,1,0,8e858459:20,88978f84,20,1,moderate occlusion,true
8e858459,13,00:00:13,2025-01-23T10:23:33,10:23:33,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,14,00:00:14,2025-01-23T10:23:34,10:23:34,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,15,00:00:15,2025-01-23T10:23:35,10:23:35,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,16,00:00:16,2025-01-23T10:23:36,10:23:36,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,17,00:00:17,2025-01-23T10:23:37,10:23:37,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,18,00:00:18,2025-01-23T10:23:38,10:23:38,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,19,00:00:19,2025-01-23T10:23:39,10:23:39,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,20,00:00:20,2025-01-23T10:23:40,10:23:40,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,21,00:00:21,2025-01-23T10:23:41,10:23:41,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,22,00:00:22,2025-01-23T10:23:42,10:23:42,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,23,00:00:23,2025-01-23T10:23:43,10:23:43,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,24,00:00:24,2025-01-23T10:23:44,10:23:44,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,25,00:00:25,2025-01-23T10:23:45,10:23:45,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,26,00:00:26,2025-01-23T10:23:46,10:23:46,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,27,00:00:27,2025-01-23T10:23:47,10:23:47,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,28,00:00:28,2025-01-23T10:23:48,10:23:48,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,29,00:00:29,2025-01-23T10:23:49,10:23:49,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,30,00:00:30,2025-01-23T10:23:50,10:23:50,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,31,00:00:31,2025-01-23T10:23:51,10:23:51,1,1,6,6,1,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,32,00:00:32,2025-01-23T10:23:52,10:23:52,2,2,7,7,2,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,32,00:00:32,2025-01-23T10:23:52,10:23:52,2,2,7,7,2,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,33,00:00:33,2025-01-23T10:23:53,10:23:53,2,2,7,7,1,1,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,33,00:00:33,2025-01-23T10:23:53,10:23:53,2,2,7,7,1,1,0,8e858459:71,9afd5cf3,71,1,moderate occlusion,true
8e858459,34,00:00:34,2025-01-23T10:23:54,10:23:54,2,2,7,7,2,0,0,8e858459:20,88978f84,20,0,light occlusion,true
8e858459,34,00:00:34,2025-01-23T10:23:54,10:23:54,2,2,7,7,2,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,35,00:00:35,2025-01-23T10:23:55,10:23:55,1,1,7,7,1,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,36,00:00:36,2025-01-23T10:23:56,10:23:56,2,2,8,8,0,2,0,8e858459:71,9afd5cf3,71,1,moderate occlusion,true
8e858459,36,00:00:36,2025-01-23T10:23:56,10:23:56,2,2,8,8,0,2,0,8e858459:76,777de07a,76,1,moderate occlusion,true
8e858459,37,00:00:37,2025-01-23T10:23:57,10:23:57,1,1,8,8,1,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,38,00:00:38,2025-01-23T10:23:58,10:23:58,1,1,8,8,1,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,39,00:00:39,2025-01-23T10:23:59,10:23:59,1,1,8,8,1,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,40,00:00:40,2025-01-23T10:24:00,10:24:00,1,1,8,8,1,0,0,8e858459:71,9afd5cf3,71,0,light occlusion,true
8e858459,41,00:00:41,2025-01-23T10:24:01,10:24:01,0,0,8,8,0,0,0,,,,,,false
8e858459,42,00:00:42,2025-01-23T10:24:02,10:24:02,0,0,8,8,0,0,0,,,,,,false
8e858459,43,00:00:43,2025-01-23T10:24:03,10:24:03,1,1,9,9,1,0,0,8e858459:94,e8a48ab3,94,0,light occlusion,true
8e858459,44,00:00:44,2025-01-23T10:24:04,10:24:04,1,1,9,9,0,0,1,8e858459:94,e8a48ab3,94,2,heavy occlusion,true
8e858459,45,00:00:45,2025-01-23T10:24:05,10:24:05,0,0,9,9,0,0,0,,,,,,false
8e858459,46,00:00:46,2025-01-23T10:24:06,10:24:06,0,0,9,9,0,0,0,,,,,,false
8e858459,47,00:00:47,2025-01-23T10:24:07,10:24:07,0,0,9,9,0,0,0,,,,,,false
8e858459,48,00:00:48,2025-01-23T10:24:08,10:24:08,0,0,9,9,0,0,0,,,,,,false
8e858459,49,00:00:49,2025-01-23T10:24:09,10:24:09,0,0,9,9,0,0,0,,,,,,false
8e858459,50,00:00:50,2025-01-23T10:24:10,10:24:10,0,0,9,9,0,0,0,,,,,,false
8e858459,51,00:00:51,2025-01-23T10:24:11,10:24:11,0,0,9,9,0,0,0,,,,,,false
8e858459,52,00:00:52,2025-01-23T10:24:12,10:24:12,0,0,9,9,0,0,0,,,,,,false
8e858459,53,00:00:53,2025-01-23T10:24:13,10:24:13,0,0,9,9,0,0,0,,,,,,false
8e858459,54,00:00:54,2025-01-23T10:24:14,10:24:14,1,1,10,10,0,1,0,8e858459:144,8f64be54,144,1,moderate occlusion,true
8e858459,55,00:00:55,2025-01-23T10:24:15,10:24:15,1,1,10,10,0,1,0,8e858459:144,8f64be54,144,1,moderate occlusion,true
8e858459,56,00:00:56,2025-01-23T10:24:16,10:24:16,1,1,10,10,0,1,0,8e858459:144,8f64be54,144,1,moderate occlusion,true
8e858459,57,00:00:57,2025-01-23T10:24:17,10:24:17,1,1,10,10,1,0,0,8e858459:144,8f64be54,144,0,light occlusion,true
8e858459,58,00:00:58,2025-01-23T10:24:18,10:24:18,1,1,10,10,1,0,0,8e858459:144,8f64be54,144,0,light occlusion,true
8e858459,59,00:00:59,2025-01-23T10:24:19,10:24:19,2,2,11,11,0,2,0,8e858459:144,8f64be54,144,1,moderate occlusion,true
8e858459,59,00:00:59,2025-01-23T10:24:19,10:24:19,2,2,11,11,0,2,0,8e858459:181,e3303d85,181,1,moderate occlusion,true
